sr,Model,Specifications,Processor,RAM,Storage,version,graphics card,Name,Cprice
524,Lenovo Ideapad 3 15ITL06 82H803GUIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),11th Gen Core i3/ 8GB/ 512GB SSD/ Win11,11th Gen Core i3,8GB,512GB SSD,Win11,,Lenovo Ideapad 3 15ITL06 82H803GUIN Laptop,
525,Lenovo IdeaPad Flex 5 82Y00053IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i7,16GB,512GB SSD,Win11 Home,,Lenovo IdeaPad Flex 5 82Y00053IN Laptop,
526,Lenovo Yoga 7 82YM0074IN Laptop (AMD Ryzen 7 7735U/ 16GB/ 1TB SSD/ Win11 Home),AMD Ryzen 7 7735U/ 16GB/ 1TB SSD/ Win11 Home,AMD Ryzen 7 7735U,16GB,1TB SSD,Win11 Home,,Lenovo Yoga 7 82YM0074IN Laptop,
527,Lenovo IdeaPad 3 82H803HRIN Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home,11th Gen Core i7,16GB,512GB SSD,Win11 Home,,Lenovo IdeaPad 3 82H803HRIN Laptop,
528,HP 250 G9 7N179PA Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11,12th Gen Core i5,8 GB RAM,512 GB SSD,Win 11,,HP 250 G9 7N179PA Laptop,
529,Asus Vivobook Pro 15 M6500QC-HN551WS Laptop (AMD Ryzen 5 5600HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),AMD Ryzen 5 5600HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics,AMD Ryzen 5 5600HS,16 GB RAM,1 TB SSD,Win 11,4 GB Graphics,Asus Vivobook Pro 15 M6500QC-HN551WS Laptop,
530,Lenovo Thinkpad E15 21E6S07S00 Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11),12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11,12th Gen Core i5,16 GB RAM,512 GB SSD,Win 11,,Lenovo Thinkpad E15 21E6S07S00 Laptop,
531,Asus Vivobook Pro 15 M6500QC-HN751WS Laptop (AMD Ryzen 7 5800HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),AMD Ryzen 7 5800HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics,AMD Ryzen 7 5800HS,16 GB RAM,1 TB SSD,Win 11,4 GB Graphics,Asus Vivobook Pro 15 M6500QC-HN751WS Laptop,
532,Lenovo Ideapad Slim 5 82XF007CIN Laptop (13th Gen Core i5/ 16 GB RAM/ 1 TB SSD/ Win 11),13th Gen Core i5/ 16 GB RAM/ 1 TB SSD/ Win 11,13th Gen Core i5,16 GB RAM,1 TB SSD,Win 11,,Lenovo Ideapad Slim 5 82XF007CIN Laptop,
533,HP 255 G9 841W6PA Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ FreeDOS),AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ FreeDOS,AMD Ryzen 3 3250U,8 GB RAM,512 GB SSD,FreeDOS,,HP 255 G9 841W6PA Laptop,
534,Lenovo IdeaPad Slim 5i 83BG000DIN Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11),12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11,12th Gen Core i5,16 GB RAM,512 GB SSD,Win 11,,Lenovo IdeaPad Slim 5i 83BG000DIN Laptop,
535,Asus Vivobook 16X 2023 K3605ZC-MBN752WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph,12th Gen Core i7,16GB,1TB SSD,Win11 Home,4GB Graph,Asus Vivobook 16X 2023 K3605ZC-MBN752WS Laptop,
536,Lenovo IdeaPad Slim 3 82RK00VVIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11,12th Gen Core i3,8GB,512GB SSD,Win11,,Lenovo IdeaPad Slim 3 82RK00VVIN Laptop,
537,Gigabyte G5 MF-F2IN313SH Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph,12th Gen Core i5,16GB,512GB SSD,Win11 Home,6GB Graph,Gigabyte G5 MF-F2IN313SH Laptop,
538,HP Victus 15-FB1001AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,AMD Ryzen 5 7535HS,8GB,512GB SSD,Win11,4GB Graph,HP Victus 15-FB1001AX Gaming Laptop,
539,Dell Inspiron 3530 IN3530RW8JY001ORS1 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home),13th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home,13th Gen Core i5,8GB,1TB SSD,Win11 Home,,Dell Inspiron 3530 IN3530RW8JY001ORS1 Laptop,
540,Dell Inspiron 3520 IN3520KTMFJS1ORGR1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),11th Gen Core i3/ 8GB/ 512GB SSD/ Win11,11th Gen Core i3,8GB,512GB SSD,Win11,,Dell Inspiron 3520 IN3520KTMFJS1ORGR1 Laptop,
541,Acer Aspire 7 A715-76G NH.QMYSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,12th Gen Core i5,8GB,512GB SSD,Win11 Home,4GB Graph,Acer Aspire 7 A715-76G NH.QMYSI.001 Gaming Laptop,
542,Lenovo Legion 9i 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 16GB Graph,13th Gen Core i9,32GB,1TB SSD,Win11,16GB Graph,Lenovo Legion 9i 2023 Laptop,
543,Asus TUF Gaming F15 90NR0GW1-M00F00 Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph,12th Gen Core i7,16GB,1TB SSD,Win11,4GB Graph,Asus TUF Gaming F15 90NR0GW1-M00F00 Laptop,
544,HP 250 G9 7M659PA Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11,12th Gen Core i3,8GB,512GB SSD,Win11,,HP 250 G9 7M659PA Laptop,
545,Asus Vivobook 16 2023 X1605ZAB-MB322WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,8GB,512GB SSD,Win11 Home,,Asus Vivobook 16 2023 X1605ZAB-MB322WS Laptop,
546,Asus Vivobook 16X 2023 K3605ZV-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),12th Gen Core i7/ 16GB/ 512GB SSD/ Win11,12th Gen Core i7,16GB,512GB SSD,Win11,,Asus Vivobook 16X 2023 K3605ZV-MBN741WS Laptop,
547,Asus Chromebook CX1400FKA-EC0158 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS,Celeron N4500,4GB,64GB eMMC,Chrome OS,,Asus Chromebook CX1400FKA-EC0158 Laptop,
548,Asus Chromebook CX1400CKA-EK0257 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS,Celeron N4500,4GB,64GB eMMC,Chrome OS,,Asus Chromebook CX1400CKA-EK0257 Laptop,
