sr,Model,Specifications,Processor,RAM,Storage,version,graphics card,Name,Cprice
0,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,AMD Ryzen 5 5600H,8GB,512GB SSD,Win11,4GB Graph,HP Victus 15-fb0157AX Gaming Laptop,"?54,490.00"
1,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,11th Gen Core i3,8GB,512GB SSD,Win11 Home,,Tecno Megabook T1 Laptop,"?44,490.00"
2,Lenovo V15 G4 ?82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home,AMD Ryzen 3 7320U,8GB,512GB SSD,Win11 Home,,Lenovo V15 G4 ?82YU00W7IN Laptop,"?71,999.00"
3,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,Samsung Galaxy Book2 Pro 13 Laptop,"?84,633.00"
4,Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060,14th Gen Core i9,16GB,1TB SSD,Win11 Home,RTX 4060,Xiaomi Redmi G Pro 2024 Gaming Laptop,"?102,990.00"
5,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,8GB,512GB SSD,Win11 Home,,HP 15s-fq5007TU Laptop,"?38,000.00"
6,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),Apple M1/ 8GB/ 256GB SSD/ MacOS,Apple M1,8GB,256GB SSD,MacOS,,Apple MacBook Air 2020 MGND3HN Laptop,"?77,990.00"
7,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11,12th Gen Core i5,8GB,512GB SSD,Win11,,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop,"?53,999.00"
8,HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,16GB,512GB SSD,Win11 Home,,HP 15s-fq5330TU Laptop,"?51,500.00"
9,HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,AMD Ryzen 5 7535HS,16GB,512GB SSD,Win11,4GB Graph,HP Victus 15-fb1017AX Gaming Laptop,"?60,990.00"
10,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),11th Gen Core i5/ 8GB/ 512GB SSD/ Win11,11th Gen Core i5,8GB,512GB SSD,Win11,,Wings Nuvobook V1 Laptop,"?42,990.00"
11,Zebronics Pro Series Z ZEB-NBC 4S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,16GB,512GB SSD,Win11 Home,,Zebronics Pro Series Z ZEB-NBC 4S Laptop,"?62,999.00"
12,Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,Asus Vivobook 15 X1502ZA-EJ544WS Laptop,"?49,990.00"
13,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,AMD Ryzen 7 7840HS,16GB,1TB SSD,Win11,6GB Graph,HP Victus 16-s0094AX Gaming Laptop,"?71,990.00"
14,Apple MacBook Air 2024 Laptop (Apple M3/ 8GB/ 256GB SSD/ MacOS),Apple M3/ 8GB/ 256GB SSD/ MacOS,Apple M3,8GB,256GB SSD,MacOS,,Apple MacBook Air 2024 Laptop,"?1,23,990.00"
15,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11,12th Gen Core i3,8GB,512GB SSD,Win11,,Dell Inspiron 3520 D560896WIN9B Laptop,"?49,990.00"
16,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home,AMD Ryzen 3 5300U,8GB,512GB SSD,Win11 Home,,Lenovo V15 82KDA01BIH Laptop,"?71,999.00"
17,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),Apple M2/ 8GB/ 256GB SSD/ MacOS,Apple M2,8GB,256GB SSD,MacOS,,Apple MacBook Air 2022 Laptop,"?78,990.00"
18,Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11,Intel Core 5 Processor 120U,16GB,512GB SSD,Win11,,Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop,"?57,199.00"
19,HP 14s-dq5138tu Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,8GB,512GB SSD,Win11 Home,,HP 14s-dq5138tu Laptop,"?40,030.00"
20,Asus TUF F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,11th Gen Core i5,8GB,512GB SSD,Win11,4GB Graph,Asus TUF F15 FX506HF-HN024W Gaming Laptop,"?99,990.00"
21,Lenovo IdeaPad Gaming 3 82K2025XIN Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,AMD Ryzen 5 5600H,16GB,512GB SSD,Win11 Home,4GB Graph,Lenovo IdeaPad Gaming 3 82K2025XIN Laptop,"?49,990.00"
22,Lenovo Thinkpad E14 20YES00K00 Laptop (AMD Ryzen 7 5800U/ 16GB/ 512GB SSD/ Win10),AMD Ryzen 7 5800U/ 16GB/ 512GB SSD/ Win10,AMD Ryzen 7 5800U,16GB,512GB SSD,Win10,,Lenovo Thinkpad E14 20YES00K00 Laptop,"?79,999.00"
23,HP Envy x360 15-fe0014TX Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graphics),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graphics,13th Gen Core i7,16GB,1TB SSD,Win11,4GB Graphics,HP Envy x360 15-fe0014TX Laptop,"?67,990.00"
24,Lenovo ThinkPad E14 21JKS13K00 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i7,16GB,512GB SSD,Win11 Home,,Lenovo ThinkPad E14 21JKS13K00 Laptop,"?92,990.00"
25,Lenovo V14 82TSA0CWIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro,12th Gen Core i5,8GB,512GB SSD,Win11 Pro,,Lenovo V14 82TSA0CWIH Laptop,"?45,000.00"
26,Lenovo V14 82TS005DIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),12th Gen Core i5/ 8GB/ 512GB SSD/ DOS,12th Gen Core i5,8GB,512GB SSD,DOS,,Lenovo V14 82TS005DIH Laptop,"?40,450.00"
27,Asus Vivobook 15 2024 X1504VAP-NJ322WS Laptop (Intel Core 3 Processor 100U/ 8GB/ 512GB SSD/ Win11),Intel Core 3 Processor 100U/ 8GB/ 512GB SSD/ Win11,Intel Core 3 Processor 100U,8GB,512GB SSD,Win11,,Asus Vivobook 15 2024 X1504VAP-NJ322WS Laptop,"?30,980.00"
28,Lenovo V14 G3 82TSA0EMIH Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Pro),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Pro,12th Gen Core i3,8GB,512GB SSD,Win11 Pro,,Lenovo V14 G3 82TSA0EMIH Laptop,"?40,000.00"
29,HP Envy x360 ?14-fc0100TU Laptop (Intel Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),Intel Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11,Intel Core Ultra 7 155U,32GB,1TB SSD,Win11,,HP Envy x360 ?14-fc0100TU Laptop,"?1,19,790.00"
30,HP 15s-fq5329TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,8GB,512GB SSD,Win11 Home,,HP 15s-fq5329TU Laptop,
31,HP Omen 14-fb0089TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph,Intel Core Ultra 7 155H,16GB,1TB SSD,Win11 Home,8GB Graph,HP Omen 14-fb0089TX Gaming Laptop,
32,HP Envy x360 14-fc0105TU Laptop (Intel Core Ultra 5 125U/ 16GB/ 512GB SSD/ Win11),Intel Core Ultra 5 125U/ 16GB/ 512GB SSD/ Win11,Intel Core Ultra 5 125U,16GB,512GB SSD,Win11,,HP Envy x360 14-fc0105TU Laptop,
33,HP Victus 15-fa1099TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,12th Gen Core i5,16GB,512GB SSD,Win11 Home,4GB Graph,HP Victus 15-fa1099TX Laptop,
34,Asus Vivobook Go 14 2023 E1404FA-NK331W Laptop (Ryzen 3 7320U / 8GB/ 1TB SSD/ Win11 Home),Ryzen 3 7320U / 8GB/ 1TB SSD/ Win11 Home,Ryzen 3 7320U,8GB,1TB SSD,Win11 Home,,Asus Vivobook Go 14 2023 E1404FA-NK331W Laptop,
35,Samsung Galaxy Book 4 NP750XGK-KS3IN Laptop (Intel Core 7 Processor 150U/ 16GB/ 512GB SSD/ Win11),Intel Core 7 Processor 150U/ 16GB/ 512GB SSD/ Win11,Intel Core 7 Processor 150U,16GB,512GB SSD,Win11,,Samsung Galaxy Book 4 NP750XGK-KS3IN Laptop,
36,Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,13th Gen Core i5,16GB,1TB SSD,Win11,6GB Graph,Dell 15 G15-5530 Gaming Laptop,
37,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,AMD Ryzen 9 6900HS,16GB,512GB SSD,Win11 Home,4GB Graph,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop,
38,Samsung Galaxy Book 4 Pro 360 Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11),Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11,Intel Core Ultra 7,16GB,512GB SSD,Win11,,Samsung Galaxy Book 4 Pro 360 Laptop,
39,Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11,AMD Ryzen 3 7330U,8 GB,512 GB SSD,Win11,,Lenovo ThinkBook 15 G5 21JF002JIN Laptop,
40,Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,8GB,512GB SSD,Win11 Home,,Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop,
41,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph,11th Gen Core i7,16GB,1TB SSD,Win11,4GB Graph,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop,
42,Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,13th Gen Core i5,16GB,512GB SSD,Win11,6GB Graph,Acer Nitro V ANV15-51 2023 Gaming Laptop,
43,Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,12th Gen Core i5,16GB,512GB SSD,Win11,4GB Graph,Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,
44,Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph,12th Gen Core i7,16GB,512GB SSD,Win11 Home,6GB Graph,Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop,
45,HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS),AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS,AMD Athlon Silver-3050U,4GB,256GB SSD,DOS,,HP 255 G9 840T7PA Laptop,
46,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph,12th Gen Core i7,16GB,512GB SSD,Win11 Home,8GB Graph,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop,
47,HP Omen 16-n0123AX Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph,AMD Ryzen 7 6800H,16GB,1TB SSD,Win11,8GB Graph,HP Omen 16-n0123AX Gaming Laptop,
48,Dell Inspiron 5420 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,Dell Inspiron 5420 Laptop,
49,Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,11th Gen Core i5,16GB,512GB SSD,Win11,4GB Graph,Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop,
50,Samsung Galaxy Book2 Pro 360 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,Samsung Galaxy Book2 Pro 360 13 Laptop,
51,Samsung Galaxy Book 4 NP750XGK-KS1IN Laptop (Intel Core 5 Processor 120U/ 8GB/ 512GB SSD/ Win11),Intel Core 5 Processor 120U/ 8GB/ 512GB SSD/ Win11,Intel Core 5 Processor 120U,8GB,512GB SSD,Win11,,Samsung Galaxy Book 4 NP750XGK-KS1IN Laptop,
52,Asus Vivobook 15 2024 X1504VAP-NJ542WS Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11,Intel Core 5 Processor 120U,16GB,512GB SSD,Win11,,Asus Vivobook 15 2024 X1504VAP-NJ542WS Laptop,
53,HP Pavilion 15-eh3109AU Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home,AMD Ryzen 7 7730U,16GB,1TB SSD,Win11 Home,,HP Pavilion 15-eh3109AU Laptop,
54,Lenovo IdeaPad Slim 5 ?16IMH9 83DC0042IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11,Intel Core Ultra 5,16 GB RAM,1TB SSD,Win 11,,Lenovo IdeaPad Slim 5 ?16IMH9 83DC0042IN Laptop,
55,HP Envy x360 14-fa0052AU Laptop (AMD Ryzen 7 8840HS/ 16GB/ 512GB SSD/ Win11),AMD Ryzen 7 8840HS/ 16GB/ 512GB SSD/ Win11,AMD Ryzen 7 8840HS,16GB,512GB SSD,Win11,,HP Envy x360 14-fa0052AU Laptop,
56,Asus ROG Strix SCAR 16 2024 G634JYR-RA001WS Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph,14th Gen Core i9,32GB,2TB SSD,Win11 Home,16GB Graph,Asus ROG Strix SCAR 16 2024 G634JYR-RA001WS Gaming Laptop,
57,Lenovo ThinkBook 15 G5 20VG0008UK Laptop (AMD Ryzen 7 7730U/ 16GB/ 512 GB SSD/ Win11),AMD Ryzen 7 7730U/ 16GB/ 512 GB SSD/ Win11,AMD Ryzen 7 7730U,16GB,512 GB SSD,Win11,,Lenovo ThinkBook 15 G5 20VG0008UK Laptop,
58,HP Spectre x360 14-ef2035TU Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home),13th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home,13th Gen Core i7,32GB,1TB SSD,Win11 Home,,HP Spectre x360 14-ef2035TU Laptop,
59,HP Omen 14-fb0007TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph,Intel Core Ultra 7 155H,16GB,1TB SSD,Win11 Home,8GB Graph,HP Omen 14-fb0007TX Gaming Laptop,
60,Lenovo IdeaPad Slim 3 83EQ0044IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,16GB,512GB SSD,Win11 Home,,Lenovo IdeaPad Slim 3 83EQ0044IN Laptop,
61,Honor MagicBook X16 2024 ?Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,16GB,512GB SSD,Win11 Home,,Honor MagicBook X16 2024 ?Laptop,
62,HP Omen 16-xf0081AX Gaming Laptop (AMD Ryzen 7 7840HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),AMD Ryzen 7 7840HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph,AMD Ryzen 7 7840HS,32GB,1TB SSD,Win11,8GB Graph,HP Omen 16-xf0081AX Gaming Laptop,
63,Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),12th Gen Core i3/ 16GB/ 512GB SSD/ Win11,12th Gen Core i3,16GB,512GB SSD,Win11,,Acer Aspire Lite 15 AL15-52 Laptop,
64,HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph,14th Gen Core i7,16GB,1TB SSD,Win11 Home,8GB Graph,HP Omen 16-wf1025TX Gaming Laptop,
65,MSI Titan 18 HX Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ RTX 4090),14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ RTX 4090,14th Gen Core i9,32GB,2TB SSD,Win11 Home,RTX 4090,MSI Titan 18 HX Gaming Laptop,
66,Lenovo IdeaPad Slim 3 83ER008GIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,16GB,512GB SSD,Win11 Home,,Lenovo IdeaPad Slim 3 83ER008GIN Laptop,
67,Samsung Galaxy Book 4 Ultra Laptop (Intel Core Ultra 7 155H/ 32 GB RAM/ 1 TB SSD/ 6 GB Graphics),Intel Core Ultra 7 155H/ 32 GB RAM/ 1 TB SSD/ 6 GB Graphics,Intel Core Ultra 7 155H,32 GB RAM,1 TB SSD,6 GB Graphics,,Samsung Galaxy Book 4 Ultra Laptop,
68,HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph,12th Gen Core i5,16GB,1TB SSD,Win11 Home,4GB Graph,HP Victus 15-fa1145TX Gaming Laptop,
69,Colorful Evol P15 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph,12th Gen Core i7,16GB,512GB SSD,Win11,8GB Graph,Colorful Evol P15 Gaming Laptop,
70,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),Apple M3 Max/ 48GB/ 1TB SSD/ macOS,Apple M3 Max,48GB,1TB SSD,macOS,,Apple MacBook Pro 16 2023 Laptop,
71,Dell Inspiron 3530 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i7,16GB,512GB SSD,Win11 Home,,Dell Inspiron 3530 Laptop,
72,Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11,12th Gen Core i3,8GB,512GB SSD,Win11,,Asus Vivobook 15 X1502ZA-EJ385WS Laptop,
73,HP Pavilion 15-eg3032TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i7,16GB,512GB SSD,Win11 Home,,HP Pavilion 15-eg3032TU Laptop,
74,Dell G15-5530 15 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,13th Gen Core i7,16GB,1TB SSD,Win11,6GB Graph,Dell G15-5530 15 2023 Gaming Laptop,
75,HP 15s-fq5185TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,8GB,512GB SSD,Win11 Home,,HP 15s-fq5185TU Laptop,
76,Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home,11th Gen Core i5,16GB,512GB SSD,Win11 Home,,Zebronics Pro Series Y ZEB-NBC 2S Laptop,
77,Zebronics ZEB-NBC 5S 2023 Laptop (12th Gen Core i7 / 16GB/ 1TB SSD/ Win11 Home),12th Gen Core i7 / 16GB/ 1TB SSD/ Win11 Home,12th Gen Core i7,16GB,1TB SSD,Win11 Home,,Zebronics ZEB-NBC 5S 2023 Laptop,
78,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11,AMD Ryzen 7 7730U,8 GB,512 GB SSD,Win11,,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop,
79,Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11,12th Gen Core i3,8GB,512GB SSD,Win11,,Lenovo IdeaPad Slim 3 82RK00VWIN Laptop,
80,HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,AMD Ryzen 7 7840HS,16GB,512GB SSD,Win11,6GB Graph,HP Victus 16-s0095AX Gaming Laptop,
81,Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,12th Gen Core i5,16GB,512GB SSD,Win11 Home,4GB Graph,Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop,
82,Asus TUF Gaming F15 FX506HE-HN382W Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),11th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,11th Gen Core i7,16GB,512GB SSD,Win11,4GB Graph,Asus TUF Gaming F15 FX506HE-HN382W Gaming Laptop,
83,Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,11th Gen Core i5,8GB,512GB SSD,Win11,4GB Graph,Asus TUF Gaming F15 FX506HF-HN075W Gaming Laptop,
84,MSI Thin GF63 11UC-1490IN Gaming Laptop (11th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),11th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph,11th Gen Core i5,16GB,1TB 256GB SSD,Win11 Home,4GB Graph,MSI Thin GF63 11UC-1490IN Gaming Laptop,
85,Lenovo LOQ 15APH8 82XT004HIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,AMD Ryzen 7 7840HS,16GB,512GB SSD,Win11,6GB Graph,Lenovo LOQ 15APH8 82XT004HIN 2023 Gaming Laptop,
